HeatMiser_ID	Distance_Feature	Speeding_Feature	Location Type	OSHA
2018_85	191.03	1	Warehouse	Safe
2018_86	48.82	2	Office	Safe
2018_87	37.91	5	Office	Safe
2018_88	66.45	4	Office	Safe
2018_89	71.55	4	Office	Safe
2018_90	53.34	3	Office	Safe
2018_91	33.46	8	Office	Safe
2018_92	41.62	9	Office	Safe
2018_93	43.69	4	Office	Safe
2018_94	52.55	2	Office	Safe
2018_95	34.54	2	Office	Safe
2018_96	158.63	13	Warehouse	Safe
2018_97	49.65	11	Office	Safe
2018_98	157.51	59	Warehouse	Compliant
2018_99	37.13	5	Office	Safe
2018_100	51.53	6	Office	Safe
2018_101	58.97	6	Office	Safe
2018_102	50.18	6	Office	Safe
2018_103	59.23	40	Office	NonCompliant
2018_104	44.65	4	Office	Safe
2018_105	53.79	23	Office	Compliant
2018_106	52.48	8	Office	Safe
2018_107	39.67	4	Office	Safe
2018_108	58.46	5	Office	Safe
2018_109	188.89	1	Warehouse	Safe
2018_110	38.38	6	Office	Safe
2018_111	47.77	6	Office	Safe
2018_112	58.11	7	Office	Safe
2018_113	200.62	8	Warehouse	Safe
2018_114	164.95	11	Warehouse	Safe
2018_115	30.5	5	Office	Safe
2018_116	51.29	5	Office	Safe
2018_117	58.64	1	Office	Safe
2018_118	56.59	2	Office	Safe
2018_119	49.24	1	Office	Safe
2018_120	36.19	2	Office	Safe
2018_121	166.15	11	Warehouse	Safe
2018_122	195.7	12	Warehouse	Safe
2018_123	36.12	4	Office	Safe
2018_124	50.03	9	Office	Safe
2018_125	42.12	4	Office	Safe
2018_126	24.58	45	Office	NonCompliant
2018_127	49.71	6	Office	Safe
2018_128	52.14	23	Office	Compliant
2018_129	57.05	9	Office	Safe
2018_130	48.52	7	Office	Safe
2018_131	32.61	23	Office	Compliant
2018_132	65.6	6	Office	Safe
2018_133	64.85	6	Office	Safe
2018_134	46.39	6	Office	Safe
2018_135	56.72	7	Office	Safe
2018_136	41.62	4	Office	Safe
2018_137	49.53	7	Office	Safe
2018_138	66.76	2	Office	Safe
2018_139	164.31	45	Warehouse	Compliant
2018_140	47.95	9	Office	Safe
2018_141	55.28	36	Office	Compliant
2018_142	43.82	3	Office	Safe
2018_143	211.2	8	Warehouse	Safe
2018_144	58.88	6	Office	Safe
2018_145	192.77	14	Warehouse	Safe
2018_146	64.18	1	Office	Safe
2018_147	37.36	2	Office	Safe
2018_148	61.72	25	Office	Compliant
2018_149	72.36	4	Office	Safe
2018_150	184.96	65	Warehouse	NonCompliant
2018_151	60.17	5	Office	Safe
2018_152	45.1	4	Office	Safe
2018_153	175.81	8	Warehouse	Safe
2018_154	49.26	7	Office	Safe
2018_155	44.38	5	Office	Safe
2018_156	52.19	3	Office	Safe
2018_157	71.3	8	Office	Safe
2018_158	41.42	7	Office	Safe
2018_159	43.15	3	Office	Safe
2018_160	56.48	3	Office	Safe
2018_161	39.93	4	Office	Safe
2018_162	33.84	35	Office	Compliant
2018_163	47.18	7	Office	Safe
2018_164	54.94	7	Office	Safe
2018_165	70.05	7	Office	Safe
2018_166	63.15	6	Office	Safe
2018_167	65.73	8	Office	Safe
2018_168	51.78	2	Office	Safe
2018_169	59.14	8	Office	Safe
2018_170	34.59	5	Office	Safe
2018_171	53.69	24	Office	Compliant
2018_172	53.39	4	Office	Safe
2018_173	60.69	6	Office	Safe
2018_174	183.67	14	Warehouse	Safe
2018_175	49.9	5	Office	Safe
2018_176	32.51	2	Office	Safe
2018_177	57.27	9	Office	Safe
2018_178	45.74	4	Office	Safe
2018_179	189.68	10	Warehouse	Safe
2018_180	42.94	3	Office	Safe
2018_181	62.11	33	Office	Compliant
2018_182	55.19	6	Office	Safe
2018_183	53.8	3	Office	Safe
2018_184	58.1	8	Office	Safe
2018_185	62.58	5	Office	Safe
2018_186	59.94	32	Office	Compliant
2018_187	43.47	7	Office	Safe
2018_188	179.61	15	Warehouse	Safe
2018_189	157.26	18	Warehouse	Safe
2018_190	63.6	2	Office	Safe
2018_191	45.35	6	Office	Safe
2018_192	39.88	4	Office	Safe
2018_193	47.49	5	Office	Safe
2018_194	173.38	11	Warehouse	Safe
2018_195	48.45	6	Office	Safe
2018_196	212.49	25	Warehouse	Compliant
2018_197	59.36	7	Office	Safe
2018_198	58.82	4	Office	Safe
2018_199	68.36	37	Office	Compliant
2018_200	167.22	2	Warehouse	Safe
2018_201	51.81	7	Office	Safe
2018_202	74.51	5	Office	Safe
2018_203	190.85	9	Warehouse	Safe
2018_204	207.01	18	Warehouse	Safe
2018_205	196.52	12	Warehouse	Safe
2018_206	169.66	11	Warehouse	Safe
2018_207	58.94	5	Office	Safe
2018_208	52.42	3	Office	Safe
2018_209	40.44	6	Office	Safe
2018_210	52.84	4	Office	Safe
2018_211	193.21	14	Warehouse	Safe
2018_212	178.37	6	Warehouse	Safe
2018_213	159.11	15	Warehouse	Safe
2018_214	56.57	8	Office	Safe
2018_215	49.73	11	Office	Safe
2018_216	58.77	5	Office	Safe
2018_217	55.74	6	Office	Safe
2018_218	45.96	4	Office	Safe
2018_219	57.05	26	Office	Compliant
2018_220	184.14	9	Warehouse	Safe
2018_221	48.73	8	Office	Safe
2018_222	60.81	6	Office	Safe
2018_223	35.91	30	Office	Compliant
2018_224	164.08	71	Warehouse	NonCompliant
2018_225	64.55	7	Office	Safe
2018_226	70.77	5	Office	Safe
2018_227	44.85	2	Office	Safe
2018_228	63.68	6	Office	Safe
2018_229	42.54	3	Office	Safe
2018_230	48.74	3	Office	Safe
2018_231	60.2	39	Office	Compliant
2018_232	52.7	7	Office	Safe
2018_233	48.68	22	Office	Compliant
2018_234	53.54	7	Office	Safe
2018_235	42.9	6	Office	Safe
2018_236	206.47	21	Warehouse	Compliant
2018_237	53.29	8	Office	Safe
2018_238	160.04	10	Warehouse	Safe
2018_239	29.92	4	Office	Safe
2018_240	31.45	8	Office	Safe
2018_241	174.3	12	Warehouse	Safe
2018_242	168.45	70	Warehouse	NonCompliant
2018_243	37.21	6	Office	Safe
2018_244	57.18	5	Office	Safe
2018_245	57.78	7	Office	Safe
2018_246	50.75	5	Office	Safe
2018_247	54.09	6	Office	Safe
2018_248	43.3	5	Office	Safe
2018_249	42.59	6	Office	Safe
2018_250	64.3	29	Office	Compliant
2018_251	231.57	13	Warehouse	Safe
2018_252	145.17	15	Warehouse	Safe
2018_253	46.13	9	Office	Safe
2018_254	50.56	5	Office	Safe
2018_255	31.13	4	Office	Safe
2018_256	47.39	6	Office	Safe
2018_257	55.42	6	Office	Safe
2018_258	171.29	14	Warehouse	Safe
2018_259	59.72	7	Office	Safe
2018_260	169.02	4	Warehouse	Safe
2018_261	53.69	5	Office	Safe
2018_262	44.93	5	Office	Safe
2018_263	63.59	3	Office	Safe
2018_264	42.53	3	Office	Safe
2018_265	48.19	6	Office	Safe
2018_266	37.37	25	Office	Compliant
2018_267	53.46	5	Office	Safe
2018_268	162.8	11	Warehouse	Safe
2018_269	45.01	8	Office	Safe
2018_270	69.79	6	Office	Safe
2018_271	170.6	3	Warehouse	Safe
2018_272	34.3	8	Office	Safe
2018_273	39.6	7	Office	Safe
2018_274	177.29	10	Warehouse	Safe
2018_275	46.18	1	Office	Safe
2018_276	44.74	8	Office	Safe
2018_277	51.34	6	Office	Safe
2018_278	200.32	9	Warehouse	Safe
2018_279	44.78	6	Office	Safe
2018_280	166.33	8	Warehouse	Safe
2018_281	56.09	6	Office	Safe
2018_282	36.76	5	Office	Safe
2018_283	46.2	5	Office	Safe
2018_284	58.98	6	Office	Safe
2018_285	51.7	5	Office	Safe
2018_286	35.82	5	Office	Safe
2018_287	54.33	6	Office	Safe
2018_288	52.01	39	Office	Compliant
2018_289	38.14	30	Office	Compliant
2018_290	58.98	6	Office	Safe
2018_291	45.01	7	Office	Safe
2018_292	55.36	47	Office	NonCompliant
2018_293	61.46	6	Office	Safe
2018_294	44.5	8	Office	Safe
2018_295	196.39	6	Warehouse	Safe
2018_296	57.35	7	Office	Safe
2018_297	46.28	5	Office	Safe
2018_298	54.97	5	Office	Safe
2018_299	180.91	11	Warehouse	Safe
2018_300	42.96	3	Office	Safe
2018_301	177.63	7	Warehouse	Safe
2018_302	176.44	5	Warehouse	Safe
2018_303	57.49	6	Office	Safe
2018_304	39.67	9	Office	Safe
2018_305	46.92	6	Office	Safe
2018_306	62.47	7	Office	Safe
2018_307	56.2	29	Office	Compliant
2018_308	33.64	45	Office	NonCompliant
2018_309	40.53	4	Office	Safe
2018_310	201.05	9	Warehouse	Safe
2018_311	50.99	5	Office	Safe
2018_312	48.7	46	Office	NonCompliant
2018_313	201.97	17	Warehouse	Safe
2018_314	54.5	5	Office	Safe
2018_315	61.92	4	Office	Safe
2018_316	56.38	1	Office	Safe
2018_317	55.04	5	Office	Safe
2018_318	49.86	10	Office	Safe
2018_319	43.37	4	Office	Safe
2018_320	63.62	4	Office	Safe
2018_321	51.31	5	Office	Safe
2018_322	31.68	31	Office	Compliant
2018_323	42.33	10	Office	Safe
2018_324	31.62	2	Office	Safe
2018_325	191.81	7	Warehouse	Safe
2018_326	27.32	6	Office	Safe
2018_327	171.24	1	Warehouse	Safe
2018_328	44.64	4	Office	Safe
2018_329	35.22	3	Office	Safe
2018_330	58.49	6	Office	Safe
2018_331	44.94	4	Office	Safe
2018_332	58.05	5	Office	Safe
2018_333	41.95	28	Office	Compliant
2018_334	53.44	5	Office	Safe
2018_335	162.34	9	Warehouse	Safe
2018_336	46.76	6	Office	Safe
2018_337	162.97	15	Warehouse	Safe
2018_338	59.86	4	Office	Safe
2018_339	58.48	8	Office	Safe
2018_340	46.22	6	Office	Safe
2018_341	41.26	7	Office	Safe
2018_342	57.4	9	Office	Safe
2018_343	176.5	11	Warehouse	Safe
2018_344	53.52	9	Office	Safe
2018_345	56.56	4	Office	Safe
2018_346	168.01	15	Warehouse	Safe
2018_347	46.55	5	Office	Safe
2018_348	189.38	6	Warehouse	Safe
2018_349	25.39	7	Office	Safe
2018_350	53.48	5	Office	Safe
2018_351	137.67	4	Warehouse	Safe
2018_352	32.49	3	Office	Safe
2018_353	56.82	8	Office	Safe
2018_354	40.48	4	Office	Safe
2018_355	155.83	10	Warehouse	Safe
2018_356	61.92	40	Office	NonCompliant
2018_357	64.75	4	Office	Safe
2018_358	43.52	49	Office	NonCompliant
2018_359	161.51	5	Warehouse	Safe
2018_360	46.51	6	Office	Safe
2018_361	53.49	4	Office	Safe
2018_362	225.68	2	Warehouse	Safe
2018_363	53.83	6	Office	Safe
2018_364	57.59	4	Office	Safe
2018_365	59.59	6	Office	Safe
2018_366	61.38	6	Office	Safe
2018_367	166.96	8	Warehouse	Safe
2018_368	42.32	6	Office	Safe
2018_369	66.52	2	Office	Safe
2018_370	54.46	3	Office	Safe
2018_371	50.74	4	Office	Safe
2018_372	162.26	14	Warehouse	Safe
2018_373	30.77	8	Office	Safe
2018_374	62.55	3	Office	Safe
2018_375	52.81	5	Office	Safe
2018_376	59.56	42	Office	NonCompliant
2018_377	73.78	4	Office	Safe
2018_378	45.15	3	Office	Safe
2018_379	166.62	14	Warehouse	Safe
2018_380	49.92	2	Office	Safe
2018_381	145.07	6	Warehouse	Safe
2018_382	41.82	3	Office	Safe
2018_383	29.47	8	Office	Safe
2018_384	55.84	9	Office	Safe
2018_385	45.03	11	Office	Safe
2018_386	39.66	19	Office	Compliant
2018_387	173.9	11	Warehouse	Safe
2018_388	60.39	7	Office	Safe
2018_389	45.68	3	Office	Safe
2018_390	62.65	41	Office	NonCompliant
2018_391	73.13	3	Office	Safe
2018_392	168.84	7	Warehouse	Safe
2018_393	57.25	3	Office	Safe
2018_394	69.88	7	Office	Safe
2018_395	24.58	4	Office	Safe
2018_396	49.35	10	Office	Safe
2018_397	48.82	6	Office	Safe
2018_398	51.15	3	Office	Safe
2018_399	39.04	4	Office	Safe
2018_400	62.14	6	Office	Safe
2018_401	36.52	7	Office	Safe
2018_402	153.45	1	Warehouse	Safe
2018_403	192.25	12	Warehouse	Safe
2018_404	208.96	10	Warehouse	Safe
2018_405	46.54	4	Office	Safe
2018_406	69.53	23	Office	Compliant
2018_407	56.87	6	Office	Safe
2018_408	57	8	Office	Safe
2018_409	58.87	3	Office	Safe
2018_410	168.33	10	Warehouse	Safe
2018_411	45.89	8	Office	Safe
2018_412	56.78	6	Office	Safe
2018_413	175.29	34	Warehouse	Compliant
2018_414	48.34	5	Office	Safe
2018_415	46.14	5	Office	Safe
2018_416	48.88	2	Office	Safe
2018_417	174.91	12	Warehouse	Safe
2018_418	69.19	4	Office	Safe
2018_419	60.46	4	Office	Safe
2018_420	63.03	2	Office	Safe
2018_421	49.23	3	Office	Safe
2018_422	81.96	27	Office	Compliant
2018_423	46.08	3	Office	Safe
2018_424	38.85	8	Office	Safe
2018_425	49.72	4	Office	Safe
2018_426	52.42	5	Office	Safe
2018_427	42.01	4	Office	Safe
2018_428	190.66	7	Warehouse	Safe
2018_429	53.61	3	Office	Safe
2018_430	50.79	5	Office	Safe
2018_431	55.7	5	Office	Safe
2018_432	49.76	7	Office	Safe
2018_433	40.7	2	Office	Safe
2018_434	45.16	6	Office	Safe
2018_435	49.27	5	Office	Safe
2018_436	54.63	5	Office	Safe
2018_437	41.87	6	Office	Safe
2018_438	48.44	7	Office	Safe
2018_439	45.63	7	Office	Safe
2018_440	54.78	6	Office	Safe
2018_441	39.43	6	Office	Safe
2018_442	189.99	12	Warehouse	Safe
2018_443	53.81	25	Office	Compliant
2018_444	49.9	4	Office	Safe
2018_445	28.16	3	Office	Safe
2018_446	42.14	39	Office	Compliant
2018_447	65.55	2	Office	Safe
2018_448	60.73	5	Office	Safe
2018_449	186.42	14	Warehouse	Safe
2018_450	176.15	9	Warehouse	Safe
2018_451	198.3	99	Warehouse	NonCompliant
2018_452	63.99	5	Office	Safe
2018_453	51.55	6	Office	Safe
2018_454	206.08	15	Warehouse	Safe
2018_455	48.47	4	Office	Safe
2018_456	42.42	4	Office	Safe
2018_457	49.97	6	Office	Safe
2018_458	75.68	7	Office	Safe
2018_459	61.78	9	Office	Safe
2018_460	39.17	4	Office	Safe
2018_461	58.94	5	Office	Safe
2018_462	63.38	4	Office	Safe
2018_463	47.76	3	Office	Safe
2018_464	65.91	3	Office	Safe
2018_465	51.74	3	Office	Safe
2018_466	214.17	73	Warehouse	NonCompliant
2018_467	53.45	5	Office	Safe
2018_468	56.07	6	Office	Safe
2018_469	175.58	9	Warehouse	Safe
2018_470	182.63	12	Warehouse	Safe
2018_471	37.42	8	Office	Safe
2018_472	67.82	6	Office	Safe
2018_473	185.68	18	Warehouse	Safe
2018_474	37.3	5	Office	Safe
2018_475	56.67	3	Office	Safe
2018_476	202.94	80	Warehouse	NonCompliant
2018_477	55.3	4	Office	Safe
2018_478	59	4	Office	Safe
2018_479	51.61	3	Office	Safe
2018_480	35.32	6	Office	Safe
2018_481	64.56	3	Office	Safe
2018_482	31.06	3	Office	Safe
2018_483	58.44	6	Office	Safe
2018_484	49.28	6	Office	Safe
2018_485	53.23	47	Office	NonCompliant
2018_486	182.21	72	Warehouse	NonCompliant
2018_487	176.1	5	Warehouse	Safe
2018_488	52.58	7	Office	Safe
2018_489	47.95	3	Office	Safe
2018_490	32.09	2	Office	Safe
2018_491	183.78	56	Warehouse	Compliant
2018_492	182.71	11	Warehouse	Safe
2018_493	50.62	8	Office	Safe
2018_494	58.92	4	Office	Safe
2018_495	219.46	75	Warehouse	NonCompliant
2018_496	51.43	5	Office	Safe
2018_497	81.34	31	Office	Compliant
2018_498	52.26	2	Office	Safe
2018_499	35.46	5	Office	Safe
2018_500	36.49	5	Office	Safe
2018_501	69.66	4	Office	Safe
2018_502	55.54	5	Office	Safe
2018_503	48.05	9	Office	Safe
2018_504	172.5	5	Warehouse	Safe
2018_505	44.41	3	Office	Safe
2018_506	41	6	Office	Safe
2018_507	60.04	5	Office	Safe
2018_508	182.4	83	Warehouse	NonCompliant
2018_509	70.04	1	Office	Safe
2018_510	53.96	4	Office	Safe
2018_511	56.04	1	Office	Safe
2018_512	47.42	5	Office	Safe
2018_513	58.95	2	Office	Safe
2018_514	54.15	5	Office	Safe
2018_515	167.55	70	Warehouse	NonCompliant
2018_516	47.98	7	Office	Safe
2018_517	70.25	6	Office	Safe
2018_518	180.63	12	Warehouse	Safe
2018_519	195.47	14	Warehouse	Safe
2018_520	190.39	13	Warehouse	Safe
2018_521	61.33	1	Office	Safe
2018_522	62.81	4	Office	Safe
2018_523	174.5	6	Warehouse	Safe
2018_524	39.02	4	Office	Safe
2018_525	56.07	5	Office	Safe
2018_526	69.64	8	Office	Safe
2018_527	35.25	53	Office	NonCompliant
2018_528	48.81	3	Office	Safe
2018_529	152.1	10	Warehouse	Safe
2018_530	41.75	9	Office	Safe
2018_531	53.54	6	Office	Safe
2018_532	52.44	7	Office	Safe
2018_533	62.01	4	Office	Safe
2018_534	52.27	7	Office	Safe
2018_535	163.26	13	Warehouse	Safe
2018_536	61.46	7	Office	Safe
2018_537	39.64	4	Office	Safe
2018_538	42.01	6	Office	Safe
2018_539	26.78	2	Office	Safe
2018_540	189.07	4	Warehouse	Safe
2018_541	174.71	9	Warehouse	Safe
2018_542	49.19	5	Office	Safe
2018_543	42.46	5	Office	Safe
2018_544	50.82	6	Office	Safe
2018_545	199.29	21	Warehouse	Compliant
2018_546	52.6	4	Office	Safe
2018_547	53.39	5	Office	Safe
2018_548	213.82	7	Warehouse	Safe
2018_549	45.12	4	Office	Safe
2018_550	47.29	3	Office	Safe
2018_551	32.53	4	Office	Safe
2018_552	54.58	25	Office	Compliant
2018_553	64.69	5	Office	Safe
2018_554	48.92	8	Office	Safe
2018_555	38.29	6	Office	Safe
2018_556	19.62	3	Office	Safe
2018_557	53.63	20	Office	Compliant
2018_558	183.92	29	Warehouse	Compliant
2018_559	49.99	7	Office	Safe
2018_560	180.73	1	Warehouse	Safe
2018_561	47.51	9	Office	Safe
2018_562	51.77	3	Office	Safe
2018_563	219.54	39	Warehouse	Compliant
2018_564	57.3	42	Office	NonCompliant
2018_565	57.74	4	Office	Safe
2018_566	160.26	20	Warehouse	Safe
2018_567	47.34	6	Office	Safe
2018_568	37.62	16	Office	Safe
2018_569	38.96	4	Office	Safe
2018_570	45.78	24	Office	Compliant
2018_571	40.63	3	Office	Safe
2018_572	66.13	5	Office	Safe
2018_573	42.54	5	Office	Safe
2018_574	37.79	3	Office	Safe
2018_575	35.04	5	Office	Safe
2018_576	40.47	30	Office	Compliant
2018_577	55.16	7	Office	Safe
2018_578	49.35	6	Office	Safe
2018_579	64.49	9	Office	Safe
2018_580	41.85	6	Office	Safe
2018_581	65.17	2	Office	Safe
2018_582	49.22	5	Office	Safe
2018_583	55.52	8	Office	Safe
2018_584	41.84	7	Office	Safe
2018_585	35.7	2	Office	Safe
2018_586	171.7	14	Warehouse	Safe
2018_587	66.9	5	Office	Safe
2018_588	27.04	6	Office	Safe
2018_589	44.08	5	Office	Safe
2018_590	51.02	7	Office	Safe
2018_591	53.36	2	Office	Safe
2018_592	168.77	55	Warehouse	Compliant
2018_593	43.02	7	Office	Safe
2018_594	179.56	17	Warehouse	Safe
2018_595	188.34	18	Warehouse	Safe
2018_596	50.38	5	Office	Safe
2018_597	192.89	15	Warehouse	Safe
2018_598	186.28	4	Warehouse	Safe
2018_599	66.98	9	Office	Safe
2018_600	200.58	50	Warehouse	Compliant
2018_601	45.28	6	Office	Safe
2018_602	32.45	6	Office	Safe
2018_603	45.86	6	Office	Safe
2018_604	58.65	40	Office	NonCompliant
2018_605	58.04	28	Office	Compliant
2018_606	38.88	4	Office	Safe
2018_607	177.95	8	Warehouse	Safe
2018_608	43.36	3	Office	Safe
2018_609	28.94	4	Office	Safe
2018_610	41.84	4	Office	Safe
2018_611	50.75	8	Office	Safe
2018_612	53.75	6	Office	Safe
2018_613	52.01	4	Office	Safe
2018_614	58.53	8	Office	Safe
2018_615	76.26	2	Office	Safe
2018_616	65.11	5	Office	Safe
2018_617	159.8	58	Warehouse	Compliant
2018_618	47.81	6	Office	Safe
2018_619	67.23	5	Office	Safe
2018_620	73.97	3	Office	Safe
2018_621	54.36	2	Office	Safe
2018_622	52.11	8	Office	Safe
2018_623	57.95	21	Office	Compliant
2018_624	31.3	5	Office	Safe
2018_625	60.58	3	Office	Safe
2018_626	58.32	42	Office	NonCompliant
2018_627	182.44	10	Warehouse	Safe
2018_628	45.97	7	Office	Safe
2018_629	55.84	4	Office	Safe
2018_630	54.42	7	Office	Safe
2018_631	65.88	5	Office	Safe
2018_632	50.73	9	Office	Safe
2018_633	69.44	8	Office	Safe
2018_634	50.89	5	Office	Safe
2018_635	38.82	16	Office	Safe
2018_636	45.11	6	Office	Safe
2018_637	43.25	4	Office	Safe
2018_638	34.49	8	Office	Safe
2018_639	55.64	5	Office	Safe
2018_640	35.58	5	Office	Safe
2018_641	52.57	7	Office	Safe
2018_642	38.04	7	Office	Safe
2018_643	51.12	6	Office	Safe
2018_644	176.79	8	Warehouse	Safe
2018_645	36.33	8	Office	Safe
2018_646	158.02	8	Warehouse	Safe
2018_647	156.41	10	Warehouse	Safe
2018_648	55.01	24	Office	Compliant
2018_649	59.58	4	Office	Safe
2018_650	25.17	6	Office	Safe
2018_651	52.76	4	Office	Safe
2018_652	46.33	8	Office	Safe
2018_653	49.14	6	Office	Safe
2018_654	67.46	4	Office	Safe
2018_655	42.24	22	Office	Compliant
2018_656	203.8	22	Warehouse	Compliant
2018_657	170.45	1	Warehouse	Safe
2018_658	44.4	29	Office	Compliant
2018_659	35.39	7	Office	Safe
2018_660	39.37	5	Office	Safe
2018_661	52.44	6	Office	Safe
2018_662	67.04	4	Office	Safe
2018_663	66	3	Office	Safe
2018_664	51.63	4	Office	Safe
2018_665	51.75	5	Office	Safe
2018_666	65.02	11	Office	Safe
2018_667	56.42	6	Office	Safe
2018_668	46.11	4	Office	Safe
2018_669	58.78	3	Office	Safe
2018_670	48.29	5	Office	Safe
2018_671	44.74	2	Office	Safe
2018_672	57.14	2	Office	Safe
2018_673	50.93	10	Office	Safe
2018_674	60.88	5	Office	Safe
2018_675	187.16	11	Warehouse	Safe
2018_676	54.14	8	Office	Safe
2018_677	195.87	3	Warehouse	Safe
2018_678	49.6	4	Office	Safe
2018_679	44.48	36	Office	Compliant
2018_680	55.61	20	Office	Compliant
2018_681	30.37	37	Office	Compliant
2018_682	53.42	4	Office	Safe
2018_683	52.34	7	Office	Safe
2018_684	49.48	34	Office	Compliant
2018_685	42.6	5	Office	Safe
2018_686	44.96	7	Office	Safe
2018_687	44.06	1	Office	Safe
2018_688	56.72	3	Office	Safe
2018_689	193.58	16	Warehouse	Safe
2018_690	36.08	31	Office	Compliant
2018_691	54.47	4	Office	Safe
2018_692	40.81	4	Office	Safe
2018_693	50.64	2	Office	Safe
2018_694	47.33	3	Office	Safe
2018_695	41.71	8	Office	Safe
2018_696	39.16	5	Office	Safe
2018_697	149.36	9	Warehouse	Safe
2018_698	46.62	3	Office	Safe
2018_699	44.02	4	Office	Safe
2018_700	35.47	3	Office	Safe
2018_701	60.79	8	Office	Safe
2018_702	62.47	4	Office	Safe
2018_703	44.03	7	Office	Safe
2018_704	158.31	4	Warehouse	Safe
2018_705	49.9	6	Office	Safe
2018_706	55.74	5	Office	Safe
2018_707	48.94	3	Office	Safe
2018_708	54.01	4	Office	Safe
2018_709	159.86	9	Warehouse	Safe
2018_710	40.37	4	Office	Safe
2018_711	60.76	6	Office	Safe
2018_712	224.24	16	Warehouse	Safe
2018_713	224.47	52	Warehouse	Compliant
2018_714	60.78	0	Office	Safe
2018_715	64.43	3	Office	Safe
2018_716	57.03	4	Office	Safe
2018_717	33.6	24	Office	Compliant
2018_718	159.89	17	Warehouse	Safe
2018_719	48.22	5	Office	Safe
2018_720	27.14	4	Office	Safe
2018_721	172.15	8	Warehouse	Safe
2018_722	46.71	4	Office	Safe
2018_723	60.9	5	Office	Safe
2018_724	61.36	5	Office	Safe
2018_725	57.61	5	Office	Safe
2018_726	62.91	4	Office	Safe
2018_727	47.21	34	Office	Compliant
2018_728	44.91	7	Office	Safe
2018_729	63.61	5	Office	Safe
2018_730	56.68	55	Office	NonCompliant
2018_731	190.84	1	Warehouse	Safe
2018_732	165.87	3	Warehouse	Safe
2018_733	57.13	5	Office	Safe
2018_734	46.94	6	Office	Safe
2018_735	31.12	5	Office	Safe
2018_736	212.42	7	Warehouse	Safe
2018_737	54.39	7	Office	Safe
2018_738	71.04	4	Office	Safe
2018_739	178.88	10	Warehouse	Safe
2018_740	56.31	6	Office	Safe
